pressure(bar),heat flux(kW/m2),mass fluxkg/(m2⋅s),sub cooling,channel dia(mm),d/dMax,t/tMax
1.2,84.1,214.6,25.8,2,0.941964931,0.6465979283
1.2,84.1,214.6,25.8,2,0.9548664395,0.6851250992
1.2,84.1,214.6,25.8,2,0.9645455328,0.7082702431
1.2,84.1,214.6,25.8,2,0.9742127793,0.754416324
1.2,84.1,214.6,25.8,2,0.9871182365,0.7852765158
1.2,84.1,214.6,25.8,2,1,0.8621385822
1.2,84.1,214.6,25.8,2,0.9902379769,1
1.2,84.1,214.6,25.8,2,0.9547558667,0.8998005144
6.2,83.5,228.6,25.3,2,0.5174509638,0.003656918976
6.2,83.5,228.6,25.3,2,0.531658488,0.008560445092
6.2,83.5,228.6,25.3,2,0.5529086104,0.01934390391
6.2,83.5,228.6,25.3,2,0.5670986593,0.02522690706
6.2,83.5,228.6,25.3,2,0.5954263305,0.03993134449
6.2,83.5,228.6,25.3,2,0.6167463548,0.04679689515
6.2,83.5,228.6,25.3,2,0.6595262059,0.05269218014
6.2,83.5,228.6,25.3,2,0.7022186803,0.06348485034
6.2,83.5,228.6,25.3,2,0.7229794908,0.1016936662
6.2,83.5,228.6,25.3,2,0.7438276784,0.135005097
6.2,83.5,228.6,25.3,2,0.7217911616,0.1682981049
6.2,83.5,228.6,25.3,2,0.7569517258,0.2006361995
6.2,83.5,228.6,25.3,2,0.7777999134,0.2339476302
6.2,83.5,228.6,25.3,2,0.7414510196,0.2682139743
6.2,83.5,228.6,25.3,2,0.7694641336,0.3005489984
6.2,83.5,228.6,25.3,2,0.7545750675,0.3338450768
6.2,83.5,228.6,25.3,2,0.7605516642,0.3994731089
6.2,83.5,228.6,25.3,2,0.7879706134,0.4651103523
6.2,83.5,228.6,25.3,2,0.8439269385,0.5336983087
6.2,83.5,228.6,25.3,2,0.8569985602,0.6022678424
6.2,83.5,228.6,25.3,2,0.8701226076,0.667898945
6.2,83.5,228.6,25.3,2,1,1
9.9,83.7,193.1,25.7,2,0.2141097079,0.006448482764
9.9,83.7,193.1,25.7,2,0.2666326102,0.01332379367
9.9,83.7,193.1,25.7,2,0.3190696558,0.02411732553
9.9,83.7,193.1,25.7,2,0.3716569506,0.02805397073
9.9,83.7,193.1,25.7,2,0.3715067013,0.0349108574
9.9,83.7,193.1,25.7,2,0.4064074937,0.04471869261
9.9,83.7,193.1,25.7,2,0.4325294274,0.05452345712
9.9,83.7,193.1,25.7,2,0.4498510386,0.06530470616
9.9,83.7,193.1,25.7,2,0.4841937619,0.1005809776
9.9,83.7,193.1,25.7,2,0.5186008776,0.1329185833
9.9,83.7,193.1,25.7,2,0.5266070249,0.1681856426
9.9,83.7,193.1,25.7,2,0.5785718581,0.2005293897
9.9,83.7,193.1,25.7,2,0.577842075,0.2338342678
9.9,83.7,193.1,25.7,2,0.6210495139,0.265195389
9.9,83.7,193.1,25.7,2,0.6027405496,0.299473681
9.9,83.7,193.1,25.7,2,0.6459050594,0.3327939127
9.9,83.7,193.1,25.7,2,0.7234337571,0.4004108605
9.9,83.7,193.1,25.7,2,0.7395104446,0.4680063134
9.9,83.7,193.1,25.7,2,0.7556300601,0.5336426558
9.9,83.7,193.1,25.7,2,0.7804856062,0.6012411794
9.9,83.7,193.1,25.7,2,0.8316347996,0.6708080258
9.9,83.7,193.1,25.7,2,1,1
1.2,84.1,216.4,21,3.846,0.5014856387,0.02743557161
1.2,84.1,216.4,21,3.846,0.6351931332,0.04338983866
1.2,84.1,216.4,21,3.846,0.7127764938,0.06045859131
1.2,84.1,216.4,21,3.846,0.7870584349,0.07854570143
1.2,84.1,216.4,21,3.846,0.846483988,0.09463514866
1.2,84.1,216.4,21,3.846,0.9042588313,0.1107275999
1.2,84.1,216.4,21,3.846,0.9075602508,0.1289438822
1.2,84.1,216.4,21,3.846,0.9438758665,0.1450753855
1.2,84.1,216.4,21,3.846,0.9702872235,0.1612249128
1.2,84.1,216.4,21,3.846,1,0.2087512654
1.2,84.1,216.4,21,3.846,0.9834929017,0.2432011872
1.2,84.1,216.4,21,3.846,0.9488279958,0.2969187927
1.2,84.1,216.4,21,3.846,0.8927038623,0.3446013536
1.2,84.1,216.4,21,3.846,0.8316276,0.3963423243
1.2,84.1,216.4,21,3.846,0.8002641137,0.4449921745
1.2,84.1,216.4,21,3.846,0.7589963681,0.4977094466
1.2,84.1,216.4,21,3.846,0.7210300427,0.5473836624
1.2,84.1,216.4,21,3.846,0.6715087488,0.5970789063
1.2,84.1,216.4,21,3.846,0.5873225485,0.6478495836
1.2,84.1,216.4,21,3.846,0.5559590623,0.6975117833
1.2,84.1,216.4,21,3.846,0.5113898976,0.7482103644
1.2,84.1,216.4,21,3.846,0.4684714426,0.7978935922
1.2,84.1,216.4,21,3.846,0.4239022779,0.8465674744
1.2,84.1,216.4,21,3.846,0.3595245955,0.9003391522
1.2,84.1,216.4,21,3.846,0.2571805876,0.9491181746
1.2,84.1,216.4,21,3.846,0.1119181248,1
1.2,84.1,216.4,21,3.846,0.2819412347,0.0116375128
1.2,84.1,216.4,21,3.846,0.3991416308,0.02660947042
1.2,84.1,287.6,21,3.846,0.2687355562,0.009636845916
1.2,84.1,287.6,21,3.846,0.3925387916,0.02662148644
1.2,84.1,287.6,21,3.846,0.5592604818,0.04352802286
1.2,84.1,287.6,21,3.846,0.6170353251,0.0596204741
1.2,84.1,287.6,21,3.846,0.6715087488,0.07571893334
1.2,84.1,287.6,21,3.846,0.6896665564,0.08985878176
1.2,84.1,287.6,21,3.846,0.7358864312,0.1090093094
1.2,84.1,287.6,21,3.846,0.7490921095,0.1292322666
1.2,84.1,287.6,21,3.846,0.7672499176,0.143372115
1.2,84.1,287.6,21,3.846,0.7771541762,0.1585393329
1.2,84.1,287.6,21,3.846,0.7887091447,0.2091357781
1.2,84.1,287.6,21,3.846,0.7672499176,0.2446070612
1.2,84.1,287.6,21,3.846,0.7226807525,0.294293293
1.2,84.1,287.6,21,3.846,0.6715087488,0.3439915408
1.2,84.1,287.6,21,3.846,0.6219874544,0.3936867845
1.2,84.1,287.6,21,3.846,0.5493562231,0.4444364339
1.2,84.1,287.6,21,3.846,0.4833278309,0.493149368
1.2,84.1,287.6,21,3.846,0.4354572466,0.5479033552
1.2,84.1,287.6,21,3.846,0.3859359524,0.5975985989
1.2,84.1,287.6,21,3.846,0.2885440739,0.6453562599
1.2,84.1,287.6,21,3.846,0.1928029052,0.6971603146
1.2,84.1,287.6,21,3.846,0.1152195444,0.747918976
1.2,84.1,287.6,21,3.846,0.04258831297,0.7966439263
3,309.3,360.3,22,3.846,0.3072849683,0.02447634948
3,309.3,360.3,22,3.846,0.5455540176,0.0455114079
3,309.3,360.3,22,3.846,0.7195636287,0.06978297162
3,309.3,360.3,22,3.846,0.7593547517,0.09334223706
3,309.3,360.3,22,3.846,0.8501892385,0.1178096828
3,309.3,360.3,22,3.846,0.9164492567,0.1423350028
3,309.3,360.3,22,3.846,0.9240963708,0.1639131886
3,309.3,360.3,22,3.846,0.9601027237,0.1864529772
3,309.3,360.3,22,3.846,0.9810026579,0.2131419032
3,309.3,360.3,22,3.846,1,0.2367501391
3,309.3,360.3,22,3.846,0.9397947976,0.3088792431
3,309.3,360.3,22,3.846,0.8738164937,0.3553121869
3,309.3,360.3,22,3.846,0.8343969068,0.4253355593
3,309.3,360.3,22,3.846,0.7023545599,0.4966054536
3,309.3,360.3,22,3.846,0.636486492,0.5708046746
3,309.3,360.3,22,3.846,0.5479138852,0.6399154146
3,309.3,360.3,22,3.846,0.3950900057,0.7143194211
3,309.3,360.3,22,3.846,0.3310918674,0.783372287
3,309.3,360.3,22,3.846,0.2690004042,0.8565342237
3,309.3,360.3,22,3.846,0.1804400459,0.9287301057
3,309.3,360.3,22,3.846,0.04839769892,1
3,149.3,367.9,22,3.846,0.347520184,0.02867256452
3,149.3,367.9,22,3.846,0.5250973554,0.05112578915
3,149.3,367.9,22,3.846,0.6247761878,0.0797879273
3,149.3,367.9,22,3.846,0.7525887418,0.1071780462
3,149.3,367.9,22,3.846,0.8241338526,0.1371122036
3,149.3,367.9,22,3.846,0.8502106055,0.1635430949
3,149.3,367.9,22,3.846,0.949884763,0.1910009853
3,149.3,367.9,22,3.846,0.9759708658,0.219840372
3,149.3,367.9,22,3.846,0.9868868246,0.2438992602
3,149.3,367.9,22,3.846,1,0.2763826693
3,149.3,367.9,22,3.846,0.9548542123,0.3559724951
3,149.3,367.9,22,3.846,0.9052906169,0.4126920411
3,149.3,367.9,22,3.846,0.8558345449,0.4971092842
3,149.3,367.9,22,3.846,0.8042233306,0.583940236
3,149.3,367.9,22,3.846,0.7092989009,0.664854213
3,149.3,367.9,22,3.846,0.6295352652,0.7481401932
